"module_name","Calendar Type","Credits"
"COM1008 Web and Internet Technology","Autumn Semester","10"
"COM1009 Introduction to Algorithms and Data Structures","Spring Semester","10"
"COM160 Computer Problem Solving and Object Oriented Design","Academic year","20"
"COM161 Introduction to Programming and Problem Solving","Autumn Semester","10"
"COM2004 Data Driven Computing","Autumn Semester","20"
"COM2008 Systems Design and Security","Autumn Semester","20"
"COM2009 Robotics","Spring Semester","20"
"COM2107 Logic in Computer Science","Spring Semester","10"
"COM2108 Functional Programming","Autumn Semester","10"
"COM2109 Automata, Computation and Complexity","Academic year","20"
"COM3001 Modelling and Simulation of Natural Systems","Spring Semester","10"
"COM3004 Data Driven Computing","Autumn Semester","20"
"COM3008 Systems Design and Security","Autumn Semester","20"
"CIV1000 Civil and Structural Engineering Mechanics 1","Academic year","20"
"CIV104 Principles of Hydraulics","Spring Semester","10"
"CIV1200 Introduction to Civil and Structural Engineering Design","Academic year","20"
"CIV150 Geotechnical Engineering 1","Spring Semester","10"
"CIV173 Engineering Sustainability","Autumn Semester","10"
"CIV1900 Civil Engineering Skills","Academic year","20"
"CIV1901 Civil Engineering Skills with Manufacturing","Academic year","20"
"CIV201 Sustainable Buildings","Spring Semester","10"
"CIV2100 Structural Analysis I","Academic year","20"
"CIV2200 Structural Engineering Design and Appraisal","Academic year","20"
"CIV223 Structural Engineering Design and Appraisal","Autumn Semester","10"
"CIV2300 Pipes and Open Channel Hydraulics","Academic year","20"
"CIV235 Water and Wastewater","Autumn Semester","10"
"CIV2500 Geotechnical Engineering 2","Academic year","20"
"CIV2501 Geotechnical Engineering 2a","Autumn Semester","10"
"CIV277 Construction Project Management","Spring Semester","10"
"BMS248 Neural circuits, behaviour and memory","Autumn Semester","10"
"BMS249 Developmental Neurobiology","Autumn Semester","10"
"BMS301 Membrane Receptors","Autumn Semester","10"
"BMS303 Molecular Physiology of Ion Channels and Human Disease","Autumn Semester","10"
"BMS31002 Students as Educators","Autumn Semester","30"
"BMS31003 Science Communication and Policy","Autumn Semester","30"
"BMS31004 Bioinformatics for Biomedical Science","Spring Semester","20"
"BMS311 The Kidney in Health and Disease","Spring Semester","10"
"BMS316 Group Research Initiatives","Spring Semester","10"
"BMS319 Pharmacological Techniques","Spring Semester","10"
"BMS329 Neuroscience Techniques","Spring Semester","20"
"BMS334 Epigenetics","Spring Semester","10"
"BMS335 Sensory Neuroscience","Spring Semester","10"
"BMS336 Modelling Human Disease and Dysfunction","Autumn Semester","10"
"BMS339 Patients as Educators Project","Autumn Semester","30"
"BMS346 Epithelial Physiology in Health and Disease","Spring Semester","10"
"BMS349 Library Project - Autumn Semester","Autumn Semester","30"
"BMS352 Forensic Anatomy","Spring Semester","20"
"BMS353 Bioinformatics for Biomedical Science","Autumn Semester","10"
"BMS354 Principles of Regenerative Medicine and Tissue Engineering","Spring Semester","10"
"CHM3009 Mechanisms, Pericyclic Reactions and Synthesis","Academic year","20"
"CHM3010 Medicinal Chemistry and Drug Synthesis","Academic year","10"
"CHM3011 Modelling Molecules and their Interactions","Academic year","10"
"CHM3012 Light-Matter Interactions and Applications (for analytical sciences and sustainability)","Academic year","10"
"CHM3013 Properties of Inorganic Materials","Academic year","10"
"CHM3014 Radicals in organic and polymer synthesis","Academic year","10"
"CHM3015 Statistical Thermodynamics, Spectroscopy, Surfaces, Colloids","Academic year","20"
"CHM3016 Structure and mechanism of biomolecule function","Academic year","10"
"CHM3017 Supramolecular Chemistry","Academic year","10"
"CHM3018 Sustainable Chemistry, Energy Generation and Storage","Academic year","10"
"CHM3019 Synthetic Approaches in Chemical Biology","Academic year","10"
"CHM31016 Molecular Modelling","Academic year","10"
"CHM3104 Further Inorganic Chemistry","Academic year","30"
"CHM3105 Further Inorganic Chemistry","Academic year","20"
"CHM3204 Further Organic Chemistry","Academic year","30"
"CHM3304 Further Physical Chemistry","Academic year","30"
"CHM3402 Advanced Chemistry Laboratory Projects","Academic year","10"
"CHM3403 Biological Chemistry Projects","Academic year","30"
"CHM3404 Chemistry Projects","Academic year","30"
"CHM3903 Year in Industry Report","Academic year","40"
"CHM3904  Year in Industry Self-Study Assignments","Academic year","30"
"CHM3907 Chemistry Study Abroad","Academic year","120"
"CHM394 Performance on Industrial Placement","Academic year","40"
"CHM397 Industrial Placement Oral Presentation and Reflection","Academic year","10"
"ARC375 Project Design 55","Academic year","20"
"ARC377 Environment and Technology 5","Autumn Semester","10"
"ARC378 Environment and Technology 6","Spring Semester","10"
"ARC550 Design 1","Autumn Semester","15"
"ARC551 Design 2","Spring Semester","30"
"ARC552 Live Project 1","Academic year","15"
"ARC552 Live Project 1","Autumn Semester","15"
"ARC553 Architectural Research Methodologies","Autumn Semester","10"
"ARC554 Environment and Technology 1","Academic year","10"
"ARC555 Management and Practice 1","Academic year","10"
"ARC556 Dissertation 1","Academic year","15"
"ARC560 Design 3","Autumn Semester","15"
"ARC561 Design 4","Spring Semester","30"
"ARC562 Live Project 2","Academic year","15"
"ARC566 Dissertation 2","Autumn Semester","15"
"ARC571 Reflections on Architectural Education","Autumn Semester","15"
"ARC583 Design Manifesto","Academic year","15"
"ARC584 Environment and Technology 2","Academic year","15"
"ARC585 Management and Practice 2","Academic year","15"
"ARC590 Reflective Design Practice","Academic year","45"
"ARC594 Environment and Technology in Practice 1","Academic year","10"
"ARC596 Dissertation Proposal: Collaborative Practice","Academic year","15"
"ARC597 Reflections on Architectural Practice","Academic year","15"
"ARC61001 Behaviour in the Built Environment","Spring Semester","15"
"ARC6731 Doctoral Training in Architecture","Graduate Year","15"
"ECN101 Business Economics","Autumn Semester","10"
"ECN104 Introductory Finance for Economics","Spring Semester","20"
"ECN108 Economic History of Britain and the Modern World","Academic year","20"
"ECN109 Classical and Contemporary Thinkers in Economics","Academic year","20"
"ECN118 Mathematical Methods for Economics 1","Academic year","20"
"ECN119 Mathematical Methods for Economics 2","Academic year","20"
"ECN120 Statistical Methods for Economics","Academic year","20"
"ECN130 Economic Analysis and Policy","Academic year","40"
"ECN201 Intermediate Microeconomics","Academic year","20"
"ECN202 Intermediate Macroeconomics","Academic year","20"
"ECN21001 Public Economics","Spring Semester","20"
"ECN21002 Industrial Organisation","Autumn Semester","20"
"ECN21003 International Economics","Autumn Semester","20"
"ECN21004 Econometrics","Autumn Semester","20"
"ECN21005 Labour Economics","Autumn Semester","20"
"ECN21006 Macroeconomic Policy","Spring Semester","20"
"ECN21007 Statistics and Econometrics","Autumn Semester","20"
"ECN212 Further Mathematical Methods for Economics","Spring Semester","20"
"ECN216 Econometrics","Autumn Semester","20"
"CPE270 Process and Product Design","Spring Semester","15"
"CPE280 Introduction to Pharmaceutical Engineering","Spring Semester","15"
"CPE2999 Skills for Employability - Level 2","Graduate Year","0"
"CPE31003 Process Design Project","Academic year","45"
"CPE320 Year in Industry","Academic year","120"
"CPE321 Process Design Project","Academic year","30"
"CPE327 Advanced Bioprocess Design Project","Academic year","15"
"CPE328 Advanced Biochemical Engineering","Autumn Semester","15"
"CPE330 Systems for Sustainability","Autumn Semester","15"
"CPE332 Introduction to Fuels and Energy","Autumn Semester","10"
"CPE333 Environmental Engineering","Spring Semester","15"
"CPE336 Biopharmaceutical Manufacturing","Spring Semester","15"
"CPE337 Introduction to Fuels and Energy","Autumn Semester","15"
"CPE340 Science of Formulated Products","Autumn Semester","15"
"CPE350 Transport Phenomena","Autumn Semester","15"
"CPE360 Reaction Engineering 2","Spring Semester","15"
"CPE3999 Skills for Employability - Level 3","Autumn Semester","0"
"CPE423 Synthetic Biology","Spring Semester","10"
"CPE426 Study Year Abroad","Academic year","120"
"ACS6132 Agent-based modelling and multi-agent systems","Autumn Semester","15"
"ACS6200 Control Systems Project and Dissertation","Spring Semester","60"
"ACS6300 Robotics Project and Dissertation","Academic year","60"
"ACS6402 Industrial training programme (ITP) in Advanced Manufacturing","Spring Semester","15"
"ACS6403 Industrial training programme (ITP) in Computational Intelligence","Spring Semester","15"
"ACS6408 Optimisation: Theory, algorithms and applications","Autumn Semester","15"
"ACS6420 Advanced Project","Academic year","45"
"ACS6427 Data Modelling and Machine Intelligence","Autumn Semester","15"
"ACS6501 Foundations of Robotics","Autumn Semester","15"
"ACS6502 Mechatronics for Robotics","Autumn Semester","15"
"ACS6503 Manipulator Robotics","Autumn Semester","15"
"EAS1000 Exploring East Asia","Academic year","20"
