"module_name","Calendar Type","Credits"
"INF6103 Information Organisation","Autumn Semester","15"
"INF6110 Information Systems Modelling","Autumn Semester","15"
"INF6320 Information Systems in Organisations","Autumn Semester","15"
"INF6340 Research Methods and Dissertation Preparation","Academic year","15"
"INF6350 Information Literacy","Autumn Semester","15"
"INF6400 Information Systems and the Information Society","Spring Semester","15"
"INF6430 User-Centred Design and Human-Computer Interaction","Spring Semester","15"
"INF6500 Dissertation (Distance Learning)","Graduate Year","60"
"INF6501 Personal and Professional Development Portfolio (distance learning)","Spring Semester","15"
"INF6502 Academic and Workplace Library, Information and Knowledge Services","Spring Semester","15"
"INF6505 Database Design and Data Management","Spring Semester","15"
"INF6513 Leadership, Strategy and Change","Spring Semester","15"
"INF6525 Information Governance and Ethics","Spring Semester","15"
"INF6545 Research Methods and Dissertation Preparation (Distance Learning)","Academic year","15"
"INF6555 Dissertation (distance learning)","Graduate Year","45"
"INF6840 Archives and Records Management","Spring Semester","15"
"HCS6088 Communication, Diversity & Difficulties: B","Academic year","30"
"HCS6100 Dissertation","Academic year","60"
"HCS61001 Professional Practice 1","Academic year","0"
"HCS61002 Professional Practice 2","Academic year","0"
"HCS61003 Professional Practice 3","Academic year","0"
"HCS6192 Literacy : Difficulties and Intervention","Spring Semester","15"
"HCS6301 Biomedical Science","Academic year","0"
"HCS6302 Speech, language, communication and literacy development in children","Autumn Semester","0"
"HCS6303 Speech and Hearing Science","Academic year","0"
"HCS6305 Introduction to practical Linguistics","Academic year","0"
"HCS6306 Language cognition and communication in adults 2","Spring Semester","0"
"HCS6307 Research Methods and Statistics","Spring Semester","0"
"HCS6308 Professional Practice 1","Academic year","0"
"HCS6309 Participation and Society","Academic year","0"
"HCS6411 Language Analysis: Sound and Structure","Spring Semester","0"
"HCS6412 Transition to Professional Autonomy","Spring Semester","0"
"ACS3000 Bioengineering Research Project","Academic year","30"
"ACS389 Aerospace Individual Investigative Project","Academic year","30"
"ACS429 Aerospace Individual Investigative Project","Academic year","45"
"ACS6550 Aerospace Individual Investigative Project","Graduate Year","60"
"AER325 Aerodynamic Design","Autumn Semester","10"
"AER429 Aerospace Individual Investigative Project","Academic year","45"
"BIE6322 Anatomy and Physiology for Engineers","Autumn Semester","15"
"COM3000 Bioengineering Research Project","Academic year","30"
"COM389 Aerospace Individual Investigative Project","Academic year","30"
"COM429 Aerospace Individual Investigative Project","Academic year","45"
"CPE3000 Bioengineering Research Project","Academic year","30"
"EEE3000 Bioengineering Research Project","Academic year","30"
"HST6084 Writing Late Antique Lives","Spring Semester","15"
"HST6085 Under Attack: The Home Front during the Cold War","Spring Semester","15"
"HST6089 Wikipedia and Medieval History","Autumn Semester","15"
"HST6091 Migration in the Ancient World","Spring Semester","15"
"HST61007 Oral History","Spring Semester","15"
"HST61009 The United States and the Global Cold War","Spring Semester","30"
"HST61016 Public History and Policy: Theory and Practice","Spring Semester","30"
"HST61018 Language and Society in Early Modern England","Spring Semester","30"
"HST61019 Worlds of Labour: Working Class Lives in Colonial South Asia","Spring Semester","30"
"HST61020 Women and Power","Autumn Semester","30"
"HST61020 Women and Power","Spring Semester","30"
"HST61021 Food and Drink","Spring Semester","30"
"HST61022 Black Power: Race, Gender, and Liberation in the United States and Beyond","Autumn Semester","15"
"HST61024 Nationalisms revisited: Jewish and Arab political ideologies, 1897-1948","Spring Semester","15"
"INF6901 Essential Computing Skills","Autumn Semester","0"
"INF6903 Academic Writing","Autumn Semester","0"
"INF6904 Doctoral Training in Information Studies","Academic year","15"
"INF6904 Doctoral Training in Information Studies","Graduate Year","15"
"HCS6413 Evaluating the evidence base in speech and language therapy 1: Principles and methods","Autumn Semester","0"
"HCS6414 Evaluating the evidence base in speech and language therapy II: Clinical dissertation","Spring Semester","0"
"HCS6415 Key Clinical Topics 1","Academic year","0"
"HCS6416 Key Clinical Topics 2","Academic year","0"
"HCS6417 Professional Practice 2","Academic year","0"
"HCS6418 Professional Practice 3","Academic year","0"
"EEE389 Aerospace Individual Investigative Project","Academic year","30"
"EEE429 Aerospace Individual Investigative Project","Academic year","45"
"EEE6550 Aerospace Individual Investigative Project","Graduate Year","60"
"FCE001 Introduction to Engineering","Academic year","40"
"FCE002 Foundation Year Physics Laboratory Practice","Academic year","10"
"FCE003 Scientific and Laboratory Skills","Academic year","20"
"FCE1001 Global Engineering Challenge Week","Autumn Semester","0"
"FCE2001 Engineering - You're Hired","Autumn Semester","0"
"FCE6008 Doctoral Writing Skills","Academic year","10"
"FCE6009 Skills in Action","Academic year","10"
"FCE6011 SME Consultancy Project","Academic year","10"
"IPE01001 Laboratory and Project Skills in Bioscience","Academic year","20"
"IPE01002 Foundations of Physics with Computing","Academic year","30"
"IPE61007 Applied Modelling Skills and Virtual Reality","Spring Semester","15"
"IPE61008 Fundamental Biomechanics","Spring Semester","15"
"MAT3000 Bioengineering Research Project","Academic year","30"
"MAT389 Aerospace Individual Investigative Project","Academic year","30"
"MAT429 Aerospace Individual Investigative Project","Academic year","45"
"MAT6550 Aerospace Individual Investigative Project","Graduate Year","60"
"MEC3000 Bioengineering Research Project","Academic year","30"
"JNL116 Analysing News","Autumn Semester","20"
"JNL117 Reporting Institutions","Spring Semester","20"
"JNL120 Essential Journalism","Academic year","120"
"JNL222 Media Law for Journalists","Autumn Semester","20"
"JNL230 Court Reporting","Spring Semester","20"
"JNL231 Live News Production","Academic year","60"
"JNL234 Introduction to Investigative Journalism","Spring Semester","20"
"JNL235 Data Driven Storytelling","Spring Semester","20"
"JNL31001 Gender, Feminism and the Media","Spring Semester","20"
"JNL312 Journalism and Political Communication","Spring Semester","20"
"JNL331 Free Speech and Censorship","Autumn Semester","20"
"JNL333 Magazine Journalism and Production","Academic year","40"
"JNL334 News Project","Autumn Semester","20"
"JNL335 Final Project","Academic year","40"
"JNL336 Television and Radio Live Production","Autumn Semester","20"
"JNL6000 International visual public and political communication","Spring Semester","15"
"JNL6006 Researching News","Autumn Semester","15"
"JNL6007 Writing News","Autumn Semester","15"
"HST61025 Approaches and Methods in Media History","Autumn Semester","15"
"HST61026 Biopolitics: Medicine, Meaning and Power","Spring Semester","30"
"HST6560 Dissertation in Historical Research","Graduate Year","60"
"HST6601 Approaching the Middle Ages","Autumn Semester","30"
"HST6602 Early Modernities","Autumn Semester","30"
"HST6603 Modernity and Power: Individuals and the State in the Modern World","Autumn Semester","30"
"HST6604 Approaches to the American Past.","Autumn Semester","30"
"HST6606 The World in Connection: Themes in Global History","Autumn Semester","30"
"HST680 Media and Political Culture in Modern Britain","Spring Semester","15"
"HST6801 Research Skills for Historians","Autumn Semester","15"
"HST6802 Research Presentation for Historians","Spring Semester","15"
"HST6803 Directed Reading","Autumn Semester","15"
"HST6803 Directed Reading","Spring Semester","15"
"HST681 Work Placement","Spring Semester","15"
"HST6850 Palaeography","Autumn Semester","15"
"HST694 Revolutionary England, 1640-1660: Politics, culture & society","Autumn Semester","15"
"MEC389 Aerospace Individual Investigative Project","Academic year","30"
"MEC429 Aerospace Individual Investigative Project","Academic year","45"
"MEC6550 Aerospace Individual Investigative Project","Graduate Year","60"
"MPY3000 Bioengineering Research Project","Academic year","30"
"JNL6008 Broadcast News","Autumn Semester","15"
"JNL6009 Law for Journalists","Autumn Semester","15"
"JNL6014 Ethics and Regulation","Autumn Semester","15"
"JNL6015 Power and Society - The Institutions of Government","Spring Semester","15"
"JNL6016 Advanced Journalism","Spring Semester","30"
"JNL6017 Advanced Broadcast Journalism","Spring Semester","30"
"JNL6019 Broadcast Journalism Portfolio","Spring Semester","60"
"JNL6027 Global Journalism: Journalism, Globalization and Development","Spring Semester","15"
"JNL6028 Global Journalism: Writing for the media","Autumn Semester","15"
"JNL6029 Communicating with the Media","Spring Semester","15"
"JNL6036 Global Journalism: Journalism in Britain","Autumn Semester","15"
"JNL6041 Media, Society and International Crises","Autumn Semester","15"
"JNL6046 Dealing with data for journalists","Spring Semester","15"
"JNL6075 Global Journalism: Media freedom: European, UK and US perspectives","Spring Semester","15"
"JNL6090 Journalism Portfolio","Spring Semester","60"
"JNL61002 Soft Power and Public Diplomacy","Spring Semester","30"
"JNL61004 Communication in Peacebuilding","Autumn Semester","15"
"JNL61005 Global Journalism: Research Portfolio","Academic year","75"
"JNL61006 Reforming Journalism in a Global Environment","Spring Semester","15"
"JNL61007 Global Journalism: Reforming Journalism in a Global Environment","Spring Semester","15"
"JNL6210 Research Methods","Autumn Semester","15"
"JNL6300 Dissertation (International Public and Political Communication)","Spring Semester","60"
"JNL6303 Introduction to Political Communication","Autumn Semester","15"
"JNL6900 Doctoral Training in Journalism","Academic year","15"
"LSC111 Reading the Designed Landscape","Autumn Semester","10"
"LSC115 Current Challenges in Planning, Design and Management","Autumn Semester","20"
"LSC116 Space Making","Autumn Semester","20"
"LSC117 Presentation, Communication and Research Skills","Autumn Semester","20"
"LSC118 Histories of Landscape Architecture","Spring Semester","20"
"LSC119 The Changing Landscape","Spring Semester","20"
"LSC120 The Dynamic Landscape","Spring Semester","20"
"LSC136 Introductory Environmental Design Studio","Autumn Semester","30"
"LSC230 Ecological Processes, Design & Management","Autumn Semester","20"
"LSC231 Materials of Landscape - Planting Design","Autumn Semester","20"
"LSC233 Materials of Landscape - Construction Design","Spring Semester","20"
"LSC234 Landscape Design - Exploration and Intervention","Spring Semester","20"
"LSC235 Landscape Ecology - Habitat Survey Techniques","Spring Semester","20"
"LSC236 Landscape Planning for a Changing World","Spring Semester","20"
"LSC240 Urban Ecological Design and Planting","Autumn Semester","20"
"LSC241 Materials of Landscape - Construction Design","Spring Semester","10"
"LSC242 Cultural Studies - urban landscape","Spring Semester","10"
"LSC303 Advanced Planting Design","Spring Semester","10"
"LSC304 Site Planning for Housing","Autumn Semester","10"
"LSC306 Landscape Construction Design","Spring Semester","10"
"LSC31003 Landscape Architecture Integrated Masters Year in Practice","Academic year","120"
"LSC330 Site Planning For Sustainable Housing","Autumn Semester","20"
"LSC332 Integrated Urban Design Project","Spring Semester","20"
"LSC333 Materials of Landscape - Detailed Design","Spring Semester","20"
"LSC334 Green Infrastructure and Ecological Masterplanning","Autumn Semester","20"
"LSC335 Landscape Ecology - Habitat Creation and Restoration","Spring Semester","20"
"LSC336 Landscape Planning Toolkits","Autumn Semester","20"
"LSC337 Landscape Planning - Urban Regeneration","Spring Semester","20"
"LSC338 Field Study Trip","Autumn Semester","20"
"LSC5010 Urban Futures","Autumn Semester","20"
"LSC5020 Strategic Landscape Planning","Autumn Semester","20"
"LSC5030 Urban Design Project","Autumn Semester","20"
"LSC6000 Doctoral Training in Landscape","Graduate Year","15"
"LSC6003 Landscape Dissertation","Academic year","60"
"LSC6004 Landscape, Art and Politics","Autumn Semester","20"
"LSC6005 Special Project","Academic year","50"
"LSC6006 Managing the Landscape","Autumn Semester","20"
"LSC6007 Landscape Professional Practice","Spring Semester","15"
"LSC6008 Maintaining Green Infrastructure","Autumn Semester","20"
"LSC6015 Special Project","Spring Semester","45"
"LSC6017 Landscape Professional Practice","Spring Semester","10"
"LSC6026 Special Project: Research and Development Study","Autumn Semester","15"
"LSC6046 Design Research Study","Autumn Semester","15"
"LSC61001 Studio project 1: Landscape Architecture: nature, people, place.","Autumn Semester","40"
"LSC61002 Studio project 2: Planning strategies to urban design proposals","Spring Semester","40"
"LSC61003 Special Project For Landscape Managers","Academic year","50"
"LSC61004 Research module 1: Introduction to landscape research","Autumn Semester","20"
"LSC61005 Research module 2: Landscape research topics","Spring Semester","20"
"LSC61006 Equity and Participation in Place Change","Autumn Semester","20"
"LSC6140 Landscape Research Dissertation","Academic year","60"
"LSC6310 Principles and Skills of Landscape Management","Academic year","20"
"LSC6313 Landscape Architecture - Scope and Diversity","Autumn Semester","10"
"FRE21002 La Francophonie : Langue, Colonie et Civilisation","Academic year","20"
"FRE301 Language and Communication Skills V","Autumn Semester","10"
"FRE302 Language and Communication Skills VI","Spring Semester","10"
"GER321 Dutch Advanced","Academic year","20"
"GER335 German Core Language","Academic year","10"
"GER336 German Translation","Academic year","10"
"GER337 Presenting and Debating in German","Academic year","10"
"GER374 Modern German Thought","Academic year","20"
"GER374 Modern German Thought","Autumn Semester","20"
"GER379 The Self and Other: Twentieth Century German Fiction","Academic year","20"
"HSS227 Reality and Fantasy in Spain and Latin America","Academic year","20"
"HSS252 Nation and Transformation in Latin America","Academic year","20"
"HSS253 The Hispanic Languages: Structure and Use","Academic year","20"
"HSS253 The Hispanic Languages: Structure and Use","Spring Semester","20"
"HSS254 Dictatorship, Revolution and Resistance","Academic year","20"
"HSS3005 The Idea of the Modern in Latin American Fiction","Academic year","20"
"HSS3007 Barcelona: Culture of the City","Academic year","20"
"HSS3014 Questioning Spain","Academic year","20"
"HSS3018 Popular Music in the Hispanic World","Academic year","20"
"HSS330 Advanced Spanish Language III","Autumn Semester","10"
"HSS380 Portuguese Advanced: Language and Culture I","Autumn Semester","10"
"HSS381 Portuguese Advanced: Language and Culture II","Spring Semester","10"
"HSS382 Portuguese Advanced: Language and Culture III","Autumn Semester","10"
"HSS383 Portuguese Advanced: Language and Culture IV","Spring Semester","10"
"HSS390 Catalan Advanced: Language and Culture I","Autumn Semester","10"
"HSS391 Catalan Advanced: Language and Culture II","Spring Semester","10"
"MDL01002 Catalan - Languages for All","Academic year","20"
"MDL01008 Dutch - Languages for All","Spring Semester","10"
"MDL1002 Dutch Language (Beginners)","Academic year","20"
"MDL103 Introduction to European Cinema","Academic year","20"
"MDL105 An Introduction to the Social and Political History of Iberia and Latin America","Academic year","20"
"MDL106 Understanding Spanish and Latin American Culture","Academic year","20"
"MDL107 Understanding Modern France","Academic year","20"
"MDL108 Understanding German History and Culture","Academic year","20"
"MDL109 The Czechs in Central European History","Academic year","20"
"MDL110 An Introduction to French History & Culture","Academic year","20"
"MDL11015 Activism and Social Change","Academic year","20"
"MDL11016 Russian Poetry, Performance and Prose","Academic year","20"
"MDL111 Born out of Revolt & Consensus: the making of contemporary Netherlands & Belgium","Academic year","20"
"MDL112 An Introduction to Russian Culture","Academic year","20"
"MDL116 Visions of Germany","Academic year","20"
"MDL2001 Czech Language (Intermediate)","Academic year","20"
"MDL2002 Dutch Language (Intermediate)","Academic year","20"
"MDL202 Language at Work","Spring Semester","20"
"MDL203 Europe and its Others","Academic year","20"
"MDL206 Prague at the Crossroads of East and West","Autumn Semester","20"
"MDL21010 The Restless Era: German Society from Empire to Dictatorship","Academic year","20"
"MDL21011 Russian Poetry, Performance and Prose","Academic year","20"
"MDL21012 Imagining the Past: Colonial Past and Multicultural Present of the Low Countries","Autumn Semester","20"
"MDL21013 Politics and Culture in the USSR 1917-38","Spring Semester","20"
"MDL21016 Textes classiques, textes inclassables","Academic year","20"
"MDL21017 Minorités et Identités dans la France et le monde francophone du XXe siècle","Academic year","20"
"MDL21023 Remembering the Soviet Union","Academic year","20"
"MDL212 Soviet Culture in the Era of the Great Terror","Autumn Semester","20"
"MDL2622 The Structures of Russian","Academic year","20"
"MDL301 Social Approaches to Multilingualism","Autumn Semester","20"
"MDL304 Dissertation","Academic year","20"
"MDL306 SLC Year Abroad","Autumn Semester","20"
"MDL307 SLC Year Abroad","Spring Semester","20"
"MDL309 Luxury and Liberty: Germany and Britain","Academic year","20"
"MDL31006 Russian Poetry, Performance and Prose","Academic year","20"
"MDL31007 Prague at the Crossroads of East and West","Autumn Semester","20"
"MDL31018 Remembering the Soviet Union","Academic year","20"
"MDL3900 Luxembourg Studies Year Abroad  (Residency)","Autumn Semester","40"
"MDL3901 Luxembourg Studies Year Abroad  (Residency)","Spring Semester","40"
"MDL6000 Reflective Practice: Ethnography MUNDUS","Spring Semester","20"
"MDL6018 Translation Technologies","Autumn Semester","15"
"MDL602 MUNDUS Dissertation Completion module","Spring Semester","40"
"MDL6021 Approaches to Luxembourg Studies","Spring Semester","15"
"MDL6023 Subtitling Project","Spring Semester","15"
"MDL6024 Concepts and Approaches in Translation Studies","Autumn Semester","15"
"MDL603 Language in Context","Autumn Semester","15"
"MDL6038 Approaches to Literary & Cultural Studies (Critical Theory) 2 (MUNDUS)","Spring Semester","20"
"MDL6039 International Project Management","Spring Semester","15"
"MDL6046 Induction and Transition: SLC MA Study Support","Autumn Semester","0"
"MDL6047 Intercultural Communication in Practice","Spring Semester","15"
"MDL6048 Translation Skills and Genres 1","Autumn Semester","15"
"MDL6049 Translation Skills and Genres 2","Spring Semester","15"
"MDL6051 Ethnography/Reflective Practice","Graduate Year","30"
"MDL6054 Translation Skills 2","Spring Semester","15"
"MDL6070 Concepts and Approaches in Intercultural Communication","Autumn Semester","15"
"MDL6077 Film Adaptation of Literary Classics","Spring Semester","15"
"MDL608 Directed Reading","Academic year","15"
"MDL6100 Concepts and Approaches in Translation Studies","Autumn Semester","30"
"MDL61010 Key Issues in Intercultural Communication Seminar","Academic year","15"
"MDL61010 Key Issues in Intercultural Communication Seminar","Spring Semester","15"
"MDL61011 Translation Studies Seminar","Spring Semester","15"
"MDL61018 Further Ethnography","Spring Semester","15"
"MDL6106 From Feminism to Gender Studies in Europe (MUNDUS)","Academic year","20"
"MDL619 Topics in Modern Languages and Cultures 1","Academic year","30"
"MDL620 Social Approaches to Multilingualism","Autumn Semester","15"
"MDL621 Topics in Modern Languages and Cultures 2","Academic year","30"
"MDL622 Research Methods in Modern Languages and Cultures","Autumn Semester","15"
"MDL623 Dissertation in Modern Languages & Cultures","Spring Semester","60"
"MDL624 Popular and Physical Culture in the Hispanic World (MUNDUS)","Spring Semester","20"
"MDL6403 Intercultural Communication in Practice (MUNDUS)","Spring Semester","20"
"MDL6407 Tandem Learning for Intercultural Communication","Spring Semester","15"
"MDL6407B Tandem Learning for Intercultural Communication","Spring Semester","15"
"MDL6411 Reflective Practice: Ethnography","Autumn Semester","15"
"MDL6501 Localisation for Linguists","Spring Semester","15"
"MDL6602 MUNDUS Directed Reading II","Spring Semester","20"
"MDL6603 MUNDUS Dissertation Report","Spring Semester","20"
"MDL6604 MUNDUS Short Dissertation Report","Spring Semester","10"
"MDL6700 Approaches to Literary and Cultural Studies (Critical Theory) I","Autumn Semester","15"
"MDL6710 Approaches to Literary and Cultural Studies (Critical Theory) II","Spring Semester","15"
"RUS117 The Soviet Union 1917-1991","Spring Semester","20"
"RUS312 Politics and Culture in the USSR 1917-38","Spring Semester","20"
"RUS380 Advanced Russian Through Literary Texts","Spring Semester","10"
"RUS389 Applied Russian Language Skills","Autumn Semester","10"
"LAW110 Comprehending Criminology","Autumn Semester","20"
"LAW11001 Chinese for Non-Specialists I","Autumn Semester","10"
"LAW11002 Chinese for Non-Specialists II","Spring Semester","10"
"LAW113 Introducing Criminological Research","Spring Semester","20"
"LAW114 Principles of Comparative Law","Spring Semester","20"
"LAW129 German Legal Terminology","Academic year","10"
"LAW130 Spanish Legal Language","Academic year","10"
"LAW131 Introduction to Comparative Law","Spring Semester","10"
"LAW132 French Legal Terminology","Academic year","10"
"LAW133 Contemporary Issues in Law and Justice","Autumn Semester","20"
"LAW134 Core Legal and Study Skills 1 (CLASS1)","Academic year","0"
"LAW135 Criminal Law and Justice","Autumn Semester","20"
"LAW136 Law of Obligations (Contract, Torts & Restitution)","Autumn Semester","20"
"LAW137 Property Law (Land Law, Equity and Trusts)","Spring Semester","20"
"LAW138 Remedies in Private Law","Spring Semester","20"
"LAW139 Public Law in the UK and the EU","Spring Semester","20"
"LAW140 Contemporary Issues in Law and Justice (LLM EP)","Autumn Semester","20"
"LAW141 Criminal Law and Justice (LLM EP)","Autumn Semester","20"
"LAW142 Law of Obligations (LLM EP)","Autumn Semester","20"
"LAW143 Property Law (LLM EP)","Spring Semester","20"
"LAW144 Remedies in Private Law (LLM EP)","Spring Semester","20"
"LAW145 Public Law in the UK and the EU (LLM EP)","Spring Semester","20"
"LAW146 Skills for Criminologists (S4C)","Academic year","0"
"LAW147 Situating Crime","Autumn Semester","20"
"LAW148 Contemporary Issues in Crime and Justice","Spring Semester","20"
"LAW149 Representations of Deviance and Social Control","Spring Semester","20"
"LAW150 Criminology Year Abroad","Academic year","120"
"LAW201 Law for Management","Spring Semester","20"
"LAW202 Legal and Political Culture of Germany","Autumn Semester","20"
"LAW203 Legal and Political Culture of Spain and the Spanish-speaking World","Autumn Semester","20"
"LAW204 French Administrative Law","Autumn Semester","20"
"LAW206 Advanced Administrative Law and Justice","Spring Semester","20"
"LAW207 Advanced Constitutional Law","Autumn Semester","20"
"LAW208 Advanced Criminal Law and Justice","Autumn Semester","20"
"LAW209 Advanced Equity & Trusts","Autumn Semester","20"
"LAW210 Advanced EU Law","Autumn Semester","20"
"LAW21004 Race, Gender and Crime","Autumn Semester","20"
"LAW211 Advanced Land Law","Spring Semester","20"
"LAW212 Advanced Law of Contract","Autumn Semester","20"
"LAW215 Foundations of International Law","Autumn Semester","20"
"LAW217 Punishment and Penal Policy","Spring Semester","20"
"LAW218 Responding to Crime","Autumn Semester","20"
"LAW219 Advanced Torts Law","Spring Semester","20"
"LAW220 Private Law Aspects of Company Law","Spring Semester","20"
"LAW221 Understanding Criminology: Advanced Level Introduction","Autumn Semester","20"
"LAW224 Advanced Contract: Contract Theories in a Commercial Perspective","Spring Semester","20"
"LAW225 Analysing Crime Data","Autumn Semester","20"
"LAW226 Criminology Research Project","Spring Semester","20"
"LAW228 Criminal Process","Autumn Semester","20"
"LAW229 Criminology and War","Spring Semester","20"
"LAW230 Legal and Political Culture of China","Autumn Semester","20"
"LAW231 Chinese Law and Legal System","Spring Semester","20"
"LAW232 Criminal Evidence","Spring Semester","20"
"LAW234 Core Legal and Study Skills 2 (CLASS2) (DTP)","Autumn Semester","0"
"LAW253 French Private Law","Spring Semester","20"
"LAW254 German Law and Legal System","Spring Semester","20"
"LAW255 Spanish Law and Legal System","Spring Semester","20"
"LAW3001 International Legal Theory and Practice","Spring Semester","20"
"LAW3019 Current Issues in EU Law","Spring Semester","20"
"LAW302 Criminology Research Paper","Spring Semester","20"
"LAW3020 Intellectual Property: Patents, Trade Secrets","Autumn Semester","20"
"LAW3021 Police and Policing in a Global Context","Spring Semester","20"
"LAW3025 Principles of Healthcare Law and Ethics","Spring Semester","20"
"LAW3027 Law, Accountability and Government","Autumn Semester","20"
"LAW3029 Prisons and Imprisonment","Spring Semester","20"
"LAW3030 Drugs, Crime and Control","Autumn Semester","20"
"LAW3031 Crime, Law and History","Autumn Semester","20"
"LAW3032 Responding to Crime and Victimisation","Autumn Semester","20"
"LAW3034 Banking and Financial Services Regulation","Spring Semester","20"
"LAW3037 Gender, sexuality and law","Autumn Semester","20"
"LAW3038 Theoretical Foundations of Criminal Law","Spring Semester","20"
"LAW3040 International and Comparative Migration Law","Autumn Semester","20"
"LAW3040 International and Comparative Migration Law","Spring Semester","20"
"LAW3041 Special Project: A Practical Perspective on Commercial Property Development","Autumn Semester","20"
"LAW3047 Dissertation Preparation (BA Criminology)","Autumn Semester","20"
"LAW3048 Dissertation (BA Criminology)","Spring Semester","40"
"LAW3049 Special Project: Pro Bono","Spring Semester","20"
"LAW3050 International Commercial Arbitration","Autumn Semester","20"
"LAW3052 Sexual Offending and Sex Offenders","Autumn Semester","20"
"LAW3053 Law, Democracy and Populism","Spring Semester","20"
"MPY325 Medical Physics Research Project","Academic year","20"
"FCM6100 Research Ethics and Integrity","Graduate Year","0"
"LAW307 Criminal Evidence","Spring Semester","20"
"LAW308 Law Research Paper","Spring Semester","20"
"LAW31008 Comparative Public Law","Spring Semester","20"
"LAW31009 Digital Lawyering","Autumn Semester","20"
"LAW3101 Law Research Paper","Autumn Semester","20"
"LAW31010 Jurisprudence","Autumn Semester","20"
"LAW31015 Intellectual Property Law","Autumn Semester","20"
"LAW31016 Race, Gender and (In)justice","Spring Semester","20"
"LAW31017 Taxation Law and Policy","Autumn Semester","20"
"LAW317 The Rehabilitation of Offenders","Autumn Semester","20"
"LAW321 Sale of Goods","Autumn Semester","20"
"LAW323 International Trade Law","Autumn Semester","20"
"LAW326 The Law Relating to Public Companies","Spring Semester","20"
"LAW327 Competition Law","Spring Semester","20"
"LAW331 Criminal Process","Autumn Semester","20"
"LAW332 Criminology Research Project","Spring Semester","20"
"LAW333 Advanced Issues in International Law","Spring Semester","20"
"LAW334 Employment Law","Spring Semester","20"
"LAW335 Environmental Law","Spring Semester","20"
"LAW337 Family Law","Spring Semester","20"
"LAW347 Foundations of International Law","Autumn Semester","20"
"LAW353 Analysing Crime Data","Autumn Semester","20"
"LAW380 Gender, Crime and Criminal Justice","Autumn Semester","20"
"AER11004 Introduction to Aerospace Materials","Academic year","20"
"AER2350 Materials Selection and Fracture Mechanics","Spring Semester","10"
"AER330 Aerospace Metals","Autumn Semester","10"
"AER444 Advanced Materials Manufacturing: Part I","Spring Semester","10"
"AER476 Design and Manufacture of Composites","Spring Semester","10"
"BIE2643 Introduction to Mechanical Properties and Structural Materials","Academic year","20"
"GEE206 Mechanical and Functional Behaviour of Materials","Spring Semester","15"
"MAT1220 Introduction to Materials Properties","Spring Semester","10"
"MAT1411 Biomaterials I","Autumn Semester","10"
"MAT1510 Tissue Structure and Function","Autumn Semester","10"
"MAT1600 Introduction to Structural Materials Engineering","Autumn Semester","10"
"LAW389 Youth Crime and Justice","Autumn Semester","20"
"LAW399 Copyright & Related Rights","Autumn Semester","20"
"LAW60021 Advanced Commercial Litigation","Spring Semester","0"
"LAW60022 Drafting","Autumn Semester","0"
"LAW60023 Writing","Autumn Semester","0"
"LAW60024 Practical Legal Research","Autumn Semester","0"
"LAW60026 Interviewing and Advising","Autumn Semester","0"
"LAW60027 Advocacy","Autumn Semester","0"
"LAW60028 Professional Conduct","Autumn Semester","0"
"LAW60029 Solicitors' Accounts","Autumn Semester","0"
"LAW60030 Corporate Finance","Spring Semester","0"
"LAW60032 Litigation and Advocacy","Autumn Semester","0"
"LAW60036 Dissertation","Academic year","0"
"LAW60039 Methods of Criminological Research","Spring Semester","15"
"LAW6004 Commercial Law","Spring Semester","0"
"LAW60044 International Law and the Use of Force","Spring Semester","15"
"LAW60047 Principles of International Law","Autumn Semester","15"
"LAW60053 WTO Law: Foundations, Institutions, Challenges","Autumn Semester","15"
"LAW60054 International Humanitarian Law","Autumn Semester","15"
"LAW6006 Commercial Property","Spring Semester","0"
"LAW6007 Family Law","Spring Semester","0"
"LAW6008 Employment Law","Spring Semester","0"
"LAW6010 Advanced Criminal Litigation","Spring Semester","0"
"LAW6011 Private Client","Spring Semester","0"
"AER201 Mathematics for Aerospace Engineers","Autumn Semester","10"
"MAS003 Core Foundation Mathematics","Academic year","40"
"MAS004 Further Foundation Mathematics","Academic year","10"
"MAS110 Mathematics Core 1","Autumn Semester","20"
"MAS111 Mathematics Core II","Spring Semester","20"
"MAS112 Vectors and Mechanics","Academic year","20"
"MAS113 Introduction to Probability and Statistics","Academic year","20"
"MAS114 Numbers and Groups","Academic year","20"
"MAS115 Mathematical Investigation Skills","Academic year","20"
"MAS140 Mathematics (Chemical)","Academic year","20"
"MAS151 Civil Engineering Mathematics","Academic year","20"
"MAS152 Essential Mathematical Skills & Techniques","Academic year","20"
"MAS153 Mathematics (Materials)","Academic year","20"
"MAS156 Mathematics (Electrical)","Academic year","20"
"MAS161 General Engineering Mathematics","Academic year","15"
"MAS211 Advanced Calculus and Linear Algebra","Autumn Semester","20"
"FCP201 Molecules to Market","Spring Semester","10"
"MBB01002 Foundation in Bioscience","Academic year","40"
"MBB110 Maths for Molecular Bioscience","Autumn Semester","10"
"MBB11001 Biochemistry 1","Autumn Semester","20"
"MBB11002 Microbiology 1","Spring Semester","20"
"MBB11003 Molecular & Cell Biology","Autumn Semester","20"
"MBB11004 Genetics 1","Spring Semester","10"
"MBB11005 Skills in Molecular Bioscience","Academic year","30"
"MBB210 History and Philosophy for Molecular Bioscience","Spring Semester","10"
"MBB261 Biochemistry 2","Spring Semester","20"
